,feature_0_df1,feature_1_df1,feature_2_df1,feature_3_df1,feature_4_df1,feature_5_df1,feature_6_df1,feature_7_df1,feature_8_df1,feature_9_df1,feature_10_df1,feature_11_df1,feature_12_df1,feature_13_df1,feature_14_df1,feature_15_df1,feature_16_df1,feature_17_df1,feature_18_df1,feature_19_df1,feature_20_df1,feature_21_df1,feature_22_df1,feature_23_df1,feature_24_df1,feature_25_df1,feature_26_df1,feature_27_df1,feature_28_df1,feature_29_df1,feature_30_df1,machine,feature_0_df2,feature_1_df2,feature_2_df2,feature_3_df2,feature_4_df2,feature_5_df2,feature_6_df2,feature_7_df2,feature_8_df2,feature_9_df2,feature_10_df2,feature_11_df2,feature_12_df2,feature_13_df2,feature_14_df2,feature_15_df2,feature_16_df2,feature_17_df2,feature_18_df2,feature_19_df2,feature_20_df2,feature_21_df2,feature_22_df2,feature_23_df2,feature_24_df2,feature_25_df2,feature_26_df2,feature_27_df2,feature_28_df2,feature_29_df2,feature_30_df2,feature_31_df2,feature_32_df2,feature_33_df2,feature_34_df2,feature_35_df2,feature_36_df2,feature_37_df2,feature_38_df2,feature_39_df2,feature_40_df2,feature_41_df2,feature_42_df2,feature_43_df2,feature_44_df2,feature_45_df2,feature_46_df2,feature_47_df2,feature_48_df2,feature_49_df2,feature_50_df2,feature_51_df2,feature_52_df2,feature_53_df2,feature_54_df2,feature_55_df2,feature_56_df2,feature_57_df2,feature_58_df2,feature_59_df2,feature_60_df2,feature_61_df2,feature_62_df2,feature_63_df2,feature_64_df2,feature_65_df2,feature_66_df2,feature_67_df2,feature_68_df2,feature_69_df2,feature_70_df2,feature_71_df2,feature_72_df2,feature_73_df2,feature_74_df2,feature_75_df2,feature_76_df2,feature_77_df2,feature_78_df2,feature_79_df2
10,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.15013468,0.001294486,-0.0064351633,0.0102592,0.00891812,-0.04033614,0.0084850015,-0.00042513793,-0.0050381925,0.00096721906,-0.0040493584,-0.000928607,-0.016204523,0.00044165293,-0.017578593,0.014725688,0.00027626098,0.0019667675,0.00059607805,0.0007895228,0.000107178756,0.0019338448,0.0003968204,0.0005405279,0.0013227834,0.00017752958,0.00014929376,0.28113425,6.10704e-05,2.2910133e-06,2.1458756e-05,0.0001196593,0.005515313,0.00032749955,0.0030251553,0.00014820424,0.0031022104,0.0005419713,0.00053736713,0.003594319,0.00051615655,0.00011619695,0.00042251122,0.00953884,0.0067357197,0.0006818081,0.0018202198,0.00022811275,0.0017937202,0.008123566,4.3541062e-05,4.923407e-05,0.00088416797,0.0047288993,0.0011690758,0.00014596379,0.00047758166,0.00043649127,0.0020107604,0.0019288197,0.00039326347,0.00018942716,0.0007695093,0.00024664737,0.0069458536,0.0014049977,0.00054861925,0.00039473825,0.00040697513,0.00021059826,0.00015307259,0.0036845412,0.0025863512,0.0015033691,0.00014775651,0.031444244,0.016492322,0.00010260104,2.8231892e-05,7.143649e-05
11,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.1224404,0.0030132772,-0.0017534832,0.0049411682,0.0061367587,-0.025641965,0.019112106,-0.00058095827,-0.0006625759,0.0010857048,-0.015979663,-0.00036895566,-0.0021677308,-0.00071601523,-0.010776822,0.012142435,7.3877556e-05,0.0012643156,0.0016718364,0.00066444225,0.00014952182,0.00074178015,0.00053195294,0.00018095762,0.0011353978,0.0012205397,0.00044960962,0.042093266,3.3273052e-05,3.3018434e-05,3.928499e-05,0.000108795975,0.008058128,0.0007128705,0.0003031083,5.95274e-05,0.00042217472,0.0028483202,0.00039394,0.0008594153,0.0054173036,1.3004726e-05,0.00012922502,0.0040826043,0.02965887,0.00024643115,0.0005685379,0.00032721146,0.0010032783,0.0070880665,2.4832754e-05,5.3014333e-05,5.0218812e-05,0.0010943436,0.00063250045,8.1740225e-05,0.00033161,0.0009127411,0.00094096834,0.0003790205,0.007521082,0.00011138354,0.00066560035,0.00032291497,0.00039850155,0.00049920374,0.0006146848,6.889984e-05,0.0018756932,0.003928657,9.61737e-05,0.0004390354,0.0010150538,0.00046555913,6.4318236e-05,0.0591366,0.05456358,0.00016343212,0.00018913498,0.00014038605
12,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.07001321,9.515587e-05,-0.005827887,0.005926867,0.041585725,-0.018569332,0.0023438206,-0.00094263186,-0.0005256971,0.0016915648,-0.017517935,0.0025452806,-0.0050658444,0.009851752,-0.0033870141,0.01546564,0.00035588487,0.010054833,6.283346e-05,0.00026032404,5.8217924e-05,0.009102545,0.0004354986,0.0005394117,0.00071945396,0.00090351526,0.0012250976,0.015408365,1.1533396e-05,1.9615813e-05,1.983037e-05,0.00011824941,0.012590957,0.00090182206,0.0005753758,0.0002242353,0.0007805393,0.002239656,0.00022679163,0.0007793752,0.014211186,0.00015901508,0.0006335584,0.004603471,0.0023049403,0.0013388486,9.572741e-05,0.0038441622,0.0015888796,0.0021900393,1.7913457e-05,9.245172e-05,0.0036403132,0.00057711126,0.001039362,0.0002232302,0.00065503496,0.00023115912,0.0018205177,0.001214996,0.0010476504,7.042843e-05,0.00024107363,0.000159574,0.004422223,0.00039177685,0.0007568448,0.00015784166,0.0017382732,0.00023968134,0.00018043435,0.010240443,0.0007783298,0.0019840575,7.0663504e-05,0.026819162,0.03512743,7.455655e-06,3.2092456e-05,7.3994146e-05
13,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.13298926,0.00028085444,-0.003727386,0.0067541404,0.004923141,-0.0018470911,0.008994576,-0.0019075676,-0.0014226169,0.0007455849,-0.022991667,0.0014830356,0.00274928,-0.062090557,-0.020690612,0.000545059,0.0016279063,0.0054498506,0.0018590183,0.00038499964,0.001025094,0.009631408,0.0040879804,0.00071784965,0.0042147227,0.001188446,0.0004705165,0.021926988,9.314028e-06,3.264541e-05,1.535829e-05,0.00029131575,0.002728153,0.000961198,0.0009415371,0.00092761975,0.0028716014,0.0065852036,0.0021467526,0.0044787712,0.0053140833,0.00014605126,0.0020855765,0.0007137904,0.017678585,0.00034667793,0.0015343217,0.0023539509,0.016425129,0.025946783,8.846663e-05,0.0005024352,0.00022462457,0.0005689569,0.0048218053,1.863661e-05,0.00111225,0.002625975,0.0088836355,0.004216577,0.0021768976,3.6955258e-05,0.0012884977,0.0007624108,0.004365435,0.0010468619,0.0001161324,3.5899946e-05,0.0014595996,0.015145855,6.138459e-05,0.00240791,0.0040106648,0.0016121989,5.059643e-05,0.0062642056,0.004848395,9.611728e-06,4.214865e-05,0.00020966164
14,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.020122916,0.00042763073,-0.0034396178,0.006509031,0.013748891,-0.004929591,0.0023236785,-0.0011837918,-0.0053387443,0.0017589253,-0.039400302,0.005818612,0.0020697867,-0.00049284124,-0.0068429643,-0.016002744,0.0023245306,0.006302402,0.0010079446,0.0005025405,0.0047768527,0.0047563855,0.0029399635,0.00021032261,0.0037188947,0.00089457544,0.00056151627,0.018485418,7.209034e-05,8.461821e-06,0.0003655553,0.00044483985,0.001966512,0.009991418,0.00045157486,0.00045226968,0.01144656,0.0021682107,0.0029249904,0.0022387127,0.010926164,0.00024711018,0.0103973085,0.0052405917,0.027214983,0.0026406215,0.0030635872,0.00030536854,0.0048905695,0.0102732275,0.00031517702,0.00011427789,0.001242924,0.0013385031,0.006717851,0.00015317548,0.0044756187,0.009710124,0.0011093692,0.0016157943,0.005267452,0.0003296881,0.0037852258,0.0011854724,0.023140017,0.0048766923,0.0009036049,9.925429e-05,0.0056536626,0.007770335,0.0009600292,0.0045198137,0.07021549,0.005429615,0.0006972824,0.008298657,0.014100613,2.731512e-05,4.4991706e-05,0.00041931449
15,-0.0845506,0.008325711,0.0023547432,-0.0006727831,-0.00095862127,0.0028233551,0.14387797,-0.01663552,0.0046832412,-0.039432555,-0.0019785268,0.00018567356,0.006949448,0.05295136,0.06560429,0.011153258,1540172.9,673972.7,1223303.1,3224067.0,8901.736,48536.895,1931.6449,639.5689,0.113925435,181160.44,671019.06,39.22172,408.5494,51242.18,0.008461509,Quartz,0.023255179,0.0011330905,-0.015697127,0.007479634,0.015742859,-0.030117905,0.005826517,-0.00033447216,-0.000670421,0.002057417,-0.010559321,-0.006742131,0.007908859,0.0008906943,0.024230413,0.008194155,0.0010452601,0.0060836347,0.005254468,0.003107246,0.0057737664,0.028375812,0.009924112,0.012432959,0.010376197,0.0050703515,0.00468298,0.00022783295,0.0012203779,2.1660662e-05,7.519182e-05,0.00018088245,0.028316582,0.020425502,0.005495584,0.0002996439,0.024459967,0.02656646,0.020102784,0.0060902643,0.0136436885,0.003467641,0.05673541,0.040304758,0.04230399,0.0039865137,0.0038357435,0.008039694,0.039891556,0.03278621,0.0003218731,0.0015917051,0.007922197,0.002986917,0.049909707,0.0013799353,0.006094819,0.015361799,0.0009264809,0.03599997,0.0032759462,0.0038038627,0.052588865,0.014251116,0.020453611,0.0013013846,0.0012010057,0.002586876,0.010111797,0.004823647,0.0033119554,0.0029506038,0.010905401,0.001769571,6.753854e-05,0.019372597,0.009031833,0.0001264495,0.0013565834,0.00022093387
16,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.41634357,0.0015076089,-0.005534244,0.003849482,0.005878907,-0.017087903,0.012705776,-0.00312783,-0.00046367457,0.0007138438,-0.0067735505,-0.0057610883,0.0016629188,-0.025441455,-0.006122272,-0.007411206,0.00019209973,5.7850822e-05,9.6006625e-05,7.647706e-05,0.00035874834,0.00019279658,0.00016626444,0.000810845,0.0005206344,0.00037711085,0.0004925639,0.01718633,4.0478403e-06,3.9598814e-05,9.629867e-06,0.00020674786,0.007002798,0.00031899335,0.00088336586,0.00011497626,0.00079010014,0.0011861131,3.1273878e-05,0.0019291759,0.0031313996,0.0006900282,0.0014932646,0.00593004,0.0012544356,0.00014905813,9.787592e-05,0.0003420839,0.0036694522,0.012282386,2.5600864e-05,2.0005422e-05,7.6396405e-05,0.0028250886,0.0034802584,5.5367964e-05,0.0007867758,0.00028873564,0.0033597047,0.00042758533,7.537533e-05,2.3606322e-05,0.00013548418,5.2189003e-05,0.0013881958,6.595272e-05,0.0008700415,0.0072376244,2.8566823e-05,0.00043208216,7.778586e-05,0.00061173673,0.00016611152,0.00034943467,0.0004418674,0.121792205,0.033595603,6.8650035e-05,3.71317e-05,3.3674638e-05
17,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.4205365,0.0006068165,-0.0024537316,0.008853874,0.0080326805,-0.031868123,0.0034991615,-0.004298101,-0.001144313,0.00030405325,-0.013357996,-0.0014104669,0.032671988,0.010664718,0.0011610957,0.0099476045,0.00027073352,0.0071161664,0.00077062583,5.072353e-05,0.00042310188,0.00051138183,0.00034978712,0.0009674694,0.0008140497,0.0018715976,0.00016069585,0.037720386,1.1884932e-05,7.1570266e-06,0.00021091508,0.00031641018,0.0016196463,0.00023429366,0.00059678353,4.3219585e-05,0.0005639247,0.012905773,0.00018251082,0.0027376425,0.0045348257,0.00015929683,0.00016473343,0.013537478,0.019049093,0.00029803932,0.00037915676,0.00033140744,0.0021126037,0.0038109126,0.00022773017,2.5421254e-05,0.00027549177,0.0012417999,0.0020476102,0.00012316926,0.0011916632,0.00530652,0.0010858515,0.0014278082,0.0014924349,5.0544048e-05,0.0005706898,0.00027338596,0.0011705336,7.37476e-05,0.001822069,0.0010591333,0.0017268526,0.0001864712,0.00021492779,0.009226044,0.0017342455,0.0007813849,0.00012530344,0.04368999,0.022685004,6.8880618e-06,0.00017272033,5.9188944e-05
18,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.15013468,0.001294486,-0.0064351633,0.0102592,0.00891812,-0.04033614,0.0084850015,-0.00042513793,-0.0050381925,0.00096721906,-0.0040493584,-0.000928607,-0.016204523,0.00044165293,-0.017578593,0.014725688,0.00027626098,0.0019667675,0.00059607805,0.0007895228,0.000107178756,0.0019338448,0.0003968204,0.0005405279,0.0013227834,0.00017752958,0.00014929376,0.28113425,6.10704e-05,2.2910133e-06,2.1458756e-05,0.0001196593,0.005515313,0.00032749955,0.0030251553,0.00014820424,0.0031022104,0.0005419713,0.00053736713,0.003594319,0.00051615655,0.00011619695,0.00042251122,0.00953884,0.0067357197,0.0006818081,0.0018202198,0.00022811275,0.0017937202,0.008123566,4.3541062e-05,4.923407e-05,0.00088416797,0.0047288993,0.0011690758,0.00014596379,0.00047758166,0.00043649127,0.0020107604,0.0019288197,0.00039326347,0.00018942716,0.0007695093,0.00024664737,0.0069458536,0.0014049977,0.00054861925,0.00039473825,0.00040697513,0.00021059826,0.00015307259,0.0036845412,0.0025863512,0.0015033691,0.00014775651,0.031444244,0.016492322,0.00010260104,2.8231892e-05,7.143649e-05
19,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.1224404,0.0030132772,-0.0017534832,0.0049411682,0.0061367587,-0.025641965,0.019112106,-0.00058095827,-0.0006625759,0.0010857048,-0.015979663,-0.00036895566,-0.0021677308,-0.00071601523,-0.010776822,0.012142435,7.3877556e-05,0.0012643156,0.0016718364,0.00066444225,0.00014952182,0.00074178015,0.00053195294,0.00018095762,0.0011353978,0.0012205397,0.00044960962,0.042093266,3.3273052e-05,3.3018434e-05,3.928499e-05,0.000108795975,0.008058128,0.0007128705,0.0003031083,5.95274e-05,0.00042217472,0.0028483202,0.00039394,0.0008594153,0.0054173036,1.3004726e-05,0.00012922502,0.0040826043,0.02965887,0.00024643115,0.0005685379,0.00032721146,0.0010032783,0.0070880665,2.4832754e-05,5.3014333e-05,5.0218812e-05,0.0010943436,0.00063250045,8.1740225e-05,0.00033161,0.0009127411,0.00094096834,0.0003790205,0.007521082,0.00011138354,0.00066560035,0.00032291497,0.00039850155,0.00049920374,0.0006146848,6.889984e-05,0.0018756932,0.003928657,9.61737e-05,0.0004390354,0.0010150538,0.00046555913,6.4318236e-05,0.0591366,0.05456358,0.00016343212,0.00018913498,0.00014038605
20,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.07001321,9.515587e-05,-0.005827887,0.005926867,0.041585725,-0.018569332,0.0023438206,-0.00094263186,-0.0005256971,0.0016915648,-0.017517935,0.0025452806,-0.0050658444,0.009851752,-0.0033870141,0.01546564,0.00035588487,0.010054833,6.283346e-05,0.00026032404,5.8217924e-05,0.009102545,0.0004354986,0.0005394117,0.00071945396,0.00090351526,0.0012250976,0.015408365,1.1533396e-05,1.9615813e-05,1.983037e-05,0.00011824941,0.012590957,0.00090182206,0.0005753758,0.0002242353,0.0007805393,0.002239656,0.00022679163,0.0007793752,0.014211186,0.00015901508,0.0006335584,0.004603471,0.0023049403,0.0013388486,9.572741e-05,0.0038441622,0.0015888796,0.0021900393,1.7913457e-05,9.245172e-05,0.0036403132,0.00057711126,0.001039362,0.0002232302,0.00065503496,0.00023115912,0.0018205177,0.001214996,0.0010476504,7.042843e-05,0.00024107363,0.000159574,0.004422223,0.00039177685,0.0007568448,0.00015784166,0.0017382732,0.00023968134,0.00018043435,0.010240443,0.0007783298,0.0019840575,7.0663504e-05,0.026819162,0.03512743,7.455655e-06,3.2092456e-05,7.3994146e-05
21,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.13298926,0.00028085444,-0.003727386,0.0067541404,0.004923141,-0.0018470911,0.008994576,-0.0019075676,-0.0014226169,0.0007455849,-0.022991667,0.0014830356,0.00274928,-0.062090557,-0.020690612,0.000545059,0.0016279063,0.0054498506,0.0018590183,0.00038499964,0.001025094,0.009631408,0.0040879804,0.00071784965,0.0042147227,0.001188446,0.0004705165,0.021926988,9.314028e-06,3.264541e-05,1.535829e-05,0.00029131575,0.002728153,0.000961198,0.0009415371,0.00092761975,0.0028716014,0.0065852036,0.0021467526,0.0044787712,0.0053140833,0.00014605126,0.0020855765,0.0007137904,0.017678585,0.00034667793,0.0015343217,0.0023539509,0.016425129,0.025946783,8.846663e-05,0.0005024352,0.00022462457,0.0005689569,0.0048218053,1.863661e-05,0.00111225,0.002625975,0.0088836355,0.004216577,0.0021768976,3.6955258e-05,0.0012884977,0.0007624108,0.004365435,0.0010468619,0.0001161324,3.5899946e-05,0.0014595996,0.015145855,6.138459e-05,0.00240791,0.0040106648,0.0016121989,5.059643e-05,0.0062642056,0.004848395,9.611728e-06,4.214865e-05,0.00020966164
22,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.020122916,0.00042763073,-0.0034396178,0.006509031,0.013748891,-0.004929591,0.0023236785,-0.0011837918,-0.0053387443,0.0017589253,-0.039400302,0.005818612,0.0020697867,-0.00049284124,-0.0068429643,-0.016002744,0.0023245306,0.006302402,0.0010079446,0.0005025405,0.0047768527,0.0047563855,0.0029399635,0.00021032261,0.0037188947,0.00089457544,0.00056151627,0.018485418,7.209034e-05,8.461821e-06,0.0003655553,0.00044483985,0.001966512,0.009991418,0.00045157486,0.00045226968,0.01144656,0.0021682107,0.0029249904,0.0022387127,0.010926164,0.00024711018,0.0103973085,0.0052405917,0.027214983,0.0026406215,0.0030635872,0.00030536854,0.0048905695,0.0102732275,0.00031517702,0.00011427789,0.001242924,0.0013385031,0.006717851,0.00015317548,0.0044756187,0.009710124,0.0011093692,0.0016157943,0.005267452,0.0003296881,0.0037852258,0.0011854724,0.023140017,0.0048766923,0.0009036049,9.925429e-05,0.0056536626,0.007770335,0.0009600292,0.0045198137,0.07021549,0.005429615,0.0006972824,0.008298657,0.014100613,2.731512e-05,4.4991706e-05,0.00041931449
23,-0.14929967,0.01437971,0.0015747789,-0.0029061974,-0.0013867117,0.010822222,0.14667079,-0.04021727,0.020918239,-0.010491654,-0.00015400883,0.00040219695,0.009419212,0.05684549,0.027188497,0.011970052,588521.25,2394849.2,1406616.5,17331134.0,355906.22,74020.2,2707.9187,814.58984,0.24872789,1081069.5,91166.98,6.0646453,201.8325,276202.12,0.00851557,Quartz,0.023255179,0.0011330905,-0.015697127,0.007479634,0.015742859,-0.030117905,0.005826517,-0.00033447216,-0.000670421,0.002057417,-0.010559321,-0.006742131,0.007908859,0.0008906943,0.024230413,0.008194155,0.0010452601,0.0060836347,0.005254468,0.003107246,0.0057737664,0.028375812,0.009924112,0.012432959,0.010376197,0.0050703515,0.00468298,0.00022783295,0.0012203779,2.1660662e-05,7.519182e-05,0.00018088245,0.028316582,0.020425502,0.005495584,0.0002996439,0.024459967,0.02656646,0.020102784,0.0060902643,0.0136436885,0.003467641,0.05673541,0.040304758,0.04230399,0.0039865137,0.0038357435,0.008039694,0.039891556,0.03278621,0.0003218731,0.0015917051,0.007922197,0.002986917,0.049909707,0.0013799353,0.006094819,0.015361799,0.0009264809,0.03599997,0.0032759462,0.0038038627,0.052588865,0.014251116,0.020453611,0.0013013846,0.0012010057,0.002586876,0.010111797,0.004823647,0.0033119554,0.0029506038,0.010905401,0.001769571,6.753854e-05,0.019372597,0.009031833,0.0001264495,0.0013565834,0.00022093387
24,-0.02661162,0.0077988226,0.015749238,-0.00080393755,-0.0032855982,0.020492543,0.013893588,-0.013048695,0.000869624,-0.01400878,-0.0005865263,0.0048590954,0.0056296824,0.0030186523,0.17249605,0.014013947,1889222.2,1634929.6,1333170.6,10413783.0,477989.2,144800.83,1130.3713,2186.1711,0.2976049,5468821.0,538802.94,7.802749,2432.7764,51363.91,0.00515554,Quartz,0.41634357,0.0015076089,-0.005534244,0.003849482,0.005878907,-0.017087903,0.012705776,-0.00312783,-0.00046367457,0.0007138438,-0.0067735505,-0.0057610883,0.0016629188,-0.025441455,-0.006122272,-0.007411206,0.00019209973,5.7850822e-05,9.6006625e-05,7.647706e-05,0.00035874834,0.00019279658,0.00016626444,0.000810845,0.0005206344,0.00037711085,0.0004925639,0.01718633,4.0478403e-06,3.9598814e-05,9.629867e-06,0.00020674786,0.007002798,0.00031899335,0.00088336586,0.00011497626,0.00079010014,0.0011861131,3.1273878e-05,0.0019291759,0.0031313996,0.0006900282,0.0014932646,0.00593004,0.0012544356,0.00014905813,9.787592e-05,0.0003420839,0.0036694522,0.012282386,2.5600864e-05,2.0005422e-05,7.6396405e-05,0.0028250886,0.0034802584,5.5367964e-05,0.0007867758,0.00028873564,0.0033597047,0.00042758533,7.537533e-05,2.3606322e-05,0.00013548418,5.2189003e-05,0.0013881958,6.595272e-05,0.0008700415,0.0072376244,2.8566823e-05,0.00043208216,7.778586e-05,0.00061173673,0.00016611152,0.00034943467,0.0004418674,0.121792205,0.033595603,6.8650035e-05,3.71317e-05,3.3674638e-05
25,-0.02661162,0.0077988226,0.015749238,-0.00080393755,-0.0032855982,0.020492543,0.013893588,-0.013048695,0.000869624,-0.01400878,-0.0005865263,0.0048590954,0.0056296824,0.0030186523,0.17249605,0.014013947,1889222.2,1634929.6,1333170.6,10413783.0,477989.2,144800.83,1130.3713,2186.1711,0.2976049,5468821.0,538802.94,7.802749,2432.7764,51363.91,0.00515554,Quartz,0.4205365,0.0006068165,-0.0024537316,0.008853874,0.0080326805,-0.031868123,0.0034991615,-0.004298101,-0.001144313,0.00030405325,-0.013357996,-0.0014104669,0.032671988,0.010664718,0.0011610957,0.0099476045,0.00027073352,0.0071161664,0.00077062583,5.072353e-05,0.00042310188,0.00051138183,0.00034978712,0.0009674694,0.0008140497,0.0018715976,0.00016069585,0.037720386,1.1884932e-05,7.1570266e-06,0.00021091508,0.00031641018,0.0016196463,0.00023429366,0.00059678353,4.3219585e-05,0.0005639247,0.012905773,0.00018251082,0.0027376425,0.0045348257,0.00015929683,0.00016473343,0.013537478,0.019049093,0.00029803932,0.00037915676,0.00033140744,0.0021126037,0.0038109126,0.00022773017,2.5421254e-05,0.00027549177,0.0012417999,0.0020476102,0.00012316926,0.0011916632,0.00530652,0.0010858515,0.0014278082,0.0014924349,5.0544048e-05,0.0005706898,0.00027338596,0.0011705336,7.37476e-05,0.001822069,0.0010591333,0.0017268526,0.0001864712,0.00021492779,0.009226044,0.0017342455,0.0007813849,0.00012530344,0.04368999,0.022685004,6.8880618e-06,0.00017272033,5.9188944e-05
26,-0.02661162,0.0077988226,0.015749238,-0.00080393755,-0.0032855982,0.020492543,0.013893588,-0.013048695,0.000869624,-0.01400878,-0.0005865263,0.0048590954,0.0056296824,0.0030186523,0.17249605,0.014013947,1889222.2,1634929.6,1333170.6,10413783.0,477989.2,144800.83,1130.3713,2186.1711,0.2976049,5468821.0,538802.94,7.802749,2432.7764,51363.91,0.00515554,Quartz,0.15013468,0.001294486,-0.0064351633,0.0102592,0.00891812,-0.04033614,0.0084850015,-0.00042513793,-0.0050381925,0.00096721906,-0.0040493584,-0.000928607,-0.016204523,0.00044165293,-0.017578593,0.014725688,0.00027626098,0.0019667675,0.00059607805,0.0007895228,0.000107178756,0.0019338448,0.0003968204,0.0005405279,0.0013227834,0.00017752958,0.00014929376,0.28113425,6.10704e-05,2.2910133e-06,2.1458756e-05,0.0001196593,0.005515313,0.00032749955,0.0030251553,0.00014820424,0.0031022104,0.0005419713,0.00053736713,0.003594319,0.00051615655,0.00011619695,0.00042251122,0.00953884,0.0067357197,0.0006818081,0.0018202198,0.00022811275,0.0017937202,0.008123566,4.3541062e-05,4.923407e-05,0.00088416797,0.0047288993,0.0011690758,0.00014596379,0.00047758166,0.00043649127,0.0020107604,0.0019288197,0.00039326347,0.00018942716,0.0007695093,0.00024664737,0.0069458536,0.0014049977,0.00054861925,0.00039473825,0.00040697513,0.00021059826,0.00015307259,0.0036845412,0.0025863512,0.0015033691,0.00014775651,0.031444244,0.016492322,0.00010260104,2.8231892e-05,7.143649e-05
